Division,Total Fights,(T)KOs,Submissions,Total Decisions,No Contests,DQs,Unknown
Heavyweight,13974,6343,4962,2333,106,91,139
Light Heavyweight,10032,4130,3671,2080,55,67,29
Middleweight,16074,5904,6271,3648,99,92,60
Welterweight,22496,7757,8634,5796,128,104,77
Lightweight,25735,8030,9981,7420,127,110,67
Featherweight,19665,5715,7640,6055,102,94,59
Bantamweight,13624,3721,5147,4595,53,53,55
Flyweight,6209,1650,2101,2391,29,21,17
Strawweight,1341,304,486,538,6,5,2
Women Featherweight,840,277,303,250,6,4,0
Women Bantamweight,1350,470,425,443,6,4,2
Women Flyweight,1628,450,575,594,5,3,1
Women Strawweight,1345,318,443,576,4,3,1
Women Atomweight,665,122,231,310,1,0,1
