Year,Total,Unanimous,Split,Majority,Draws,Unknown
2019,250,185,42,10,6,7
2018,4644,3400,675,141,220,208
2017,5104,3762,791,186,216,149
2016,5084,3844,734,170,212,124
2015,4701,3493,723,147,247,91
2014,4611,3437,707,157,242,68
2013,4638,3438,644,166,280,110
2012,4220,3123,636,154,246,61
2011,4010,2889,584,179,307,51
2010,3556,2598,520,165,252,21
2009,3095,2214,468,137,251,25
2008,2626,1780,350,119,232,145
2007,2360,1515,314,124,216,191
2006,1979,1198,231,133,238,179
2005,1458,796,147,85,223,207
2004,1317,696,100,72,226,223
2003,1118,579,97,61,203,178
2002,907,425,61,66,122,233
2001,646,263,42,51,118,172
2000,520,245,24,36,72,143
1999,395,155,24,21,90,105
1998,256,69,9,18,65,95
1997,171,68,9,8,38,48
1996,108,21,5,12,32,38
1995,39,16,2,4,7,10
1994,20,9,0,1,1,9
1993,11,4,0,1,6,0
