Division,Outcome,Event
Featherweight,KO (knee),UFC 142
Welterweight,"Decision (unanimous) (49_46, 48_47, 49_46)",UFC 143
Lightweight,"Decision (unanimous) (49_46, 48_47, 49_46)",UFC 144
Light Heavyweight,"Decision (unanimous) (49_46, 49_46, 50_45)",UFC 145
Heavyweight,TKO (punches),UFC 146
Middleweight,TKO (knee and punches),UFC 148
Bantamweight,"Decision (unanimous) (49_46, 50_45, 49_46)",UFC 149
Lightweight,"Decision (split) (48_47, 48_47, 46_49)",UFC 150
Flyweight,"Decision (split) (48_47, 47_48, 49_46)",UFC 152
Light Heavyweight,Submission (americana),UFC 152
Welterweight,"Decision (unanimous) (49_46, 50_45, 50_45)",UFC 154
Lightweight,"Decision (unanimous) (50_43, 50_45, 50_45)",UFC on Fox 5
Heavyweight,"Decision (unanimous) (50_45, 50_43, 50_44)",UFC 155
Flyweight,"Decision (unanimous) (49_46, 48_47, 48_47)",UFC on Fox 6
Featherweight,"Decision (unanimous) (49_46, 49_46, 48_47)",UFC 156
Bantamweight,Submission (arm-triangle choke),UFC on Fuel TV 7
Women's Bantamweight,Submission (armbar),UFC 157
Welterweight,"Decision (unanimous) (50_45, 50_45, 50_45)",UFC 158
Lightweight,"Decision (split) (47_48, 48_47, 48_47)",UFC on Fox 7
Light Heavyweight,TKO (elbows and punches),UFC 159
Heavyweight,TKO (punches),UFC 160
Middleweight,KO (punches),UFC 162
Flyweight,Submission (armbar),UFC on Fox 8
Featherweight,TKO (punches),UFC 163
Lightweight,Verbal Submission (armbar),UFC 164
Bantamweight,TKO (spinning back kick and punches),UFC 165
Light Heavyweight,"Decision (unanimous) (48_47, 48_47, 49_46)",UFC 165
Heavyweight,TKO (punches),UFC 166
Welterweight,"Decision (split) (48_47, 47_48, 48_47)",UFC 167
Flyweight,KO (punches),UFC on Fox 9
Women's Bantamweight,Submission (armbar),UFC 168
Middleweight,TKO (leg injury),UFC 168
Featherweight,"Decision (unanimous) (49_46, 49_46, 49_46)",UFC 169
Bantamweight,TKO (punches),UFC 169
Women's Bantamweight,TKO (knee to the body),UFC 170
Welterweight,"Decision (unanimous) (48_47, 48_47, 48_47)",UFC 171
Light Heavyweight,"Decision (unanimous) (50_45, 50_45, 50_45)",UFC 172
Bantamweight,TKO (head kick & punches),UFC 173
Flyweight,"Decision (unanimous) (50_45, 50_45, 50_45)",UFC 174
Women's Bantamweight,KO (punches),UFC 175
Middleweight,"Decision (unanimous) (49_45, 48_47, 49_46)",UFC 175
Bantamweight,KO (head kick and punches),UFC 177
Flyweight,Submission (kimura),UFC 178
Featherweight,"Decision (unanimous) (49_46, 49_46, 49_46)",UFC 179
Heavyweight,TKO (flying knee and punches),UFC 180
Lightweight,Submission (guillotine choke),UFC 181
Welterweight,"Decision (split) (48_47, 47_48, 49_46)",UFC 181
Women's Strawweight,Submission (rear-naked choke),TUF 20 Finale
Light Heavyweight,"Decision (unanimous) (49_46, 49_46, 49_46)",UFC 182
Women's Bantamweight,Submission (straight armbar),UFC 184
Women's Strawweight,TKO (punches),UFC 185
Lightweight,"Decision (unanimous) (50_45, 50_45, 50_45)",UFC 185
Flyweight,Submission (armbar),UFC 186
Middleweight,TKO (punches),UFC 187
Light Heavyweight,Submission (rear-naked choke),UFC 187
Heavyweight,Submission (guillotine choke),UFC 188
Women's Strawweight,TKO (punches and knee),UFC Fight Night 69
Welterweight,TKO (punches),UFC 189
Featherweight,TKO (punches),UFC 189
Bantamweight,TKO (punches),UFC on Fox 16
Women's Bantamweight,KO (punches),UFC 190
Flyweight,"Decision (unanimous) (49_46, 49_46, 50-45)",UFC 191
Light Heavyweight,"Decision (split) (48-47, 47-48, 49-46)",UFC 192
Women's Strawweight,"Decision (unanimous) (49_46, 49_46, 50-45)",UFC 193
Women's Bantamweight,KO (head kick and punches),UFC 193
Middleweight,TKO (punches),UFC 194
Featherweight,KO (punch),UFC 194
Lightweight,TKO (body kick and punches),UFC on Fox 17
Welterweight,"Decision (split) (47-48, 48-47, 48-47)",UFC 195
Bantamweight,"Decision (split) (48-47, 46-49, 49-46)",UFC Fight Night 81
Women's Bantamweight,Submission (rear-naked choke),UFC 196
Flyweight,TKO (knees and punches),UFC 197
Light Heavyweight,"Decision (unanimous) (50-44, 50-45, 50-45)",UFC 197
Heavyweight,KO (punch),UFC 198
Bantamweight,"Decision (unanimous) (50-45, 50-45, 49-46)",UFC 199
Middleweight,KO (punches),UFC 199
Lightweight,TKO (punches),UFC Fight Night 90
Women's Strawweight,"Decision (unanimous) (48-46, 48-45, 48-46)",The Ultimate Fighter 23 Finale
Featherweight,"Decision (unanimous) (49-46, 49-46, 48-47)",UFC 200
Women's Bantamweight,Submission (rear-naked choke),UFC 200
Welterweight,KO (punches),UFC 201
Heavyweight,KO (punches),UFC 203
Middleweight,"Decision (unanimous) (48-47, 48-47, 49-46)",UFC 204
Women's Strawweight,"Decision (unanimous) (49-46, 49-46, 49-46)",UFC 205
Welterweight,"Draw (majority) (48-47, 47-47, 47-47)",UFC 205
Lightweight,TKO (punches),UFC 205
Flyweight,"Decision (unanimous) (49-46, 49-46, 49-45)",The Ultimate Fighter 24 Finale
Featherweight,TKO (body kick and punches),UFC 206
Bantamweight,"Decision (unanimous) (48-46, 48-47, 48-46)",UFC 207
Women's Bantamweight,TKO (punches),UFC 207
Women's Featherweight,"Decision (unanimous) (48-47, 48-47, 48-47)",UFC 208
Welterweight,"Decision (majority) (48-47, 47-47, 48-47)",UFC 209
Light Heavyweight,Submission (rear-naked choke),UFC 210
Flyweight,Submission (armbar),UFC on Fox 24
Women's Strawweight,"Decision (unanimous) (50-45, 50-44, 50-45)",UFC 211
Heavyweight,TKO (punches),UFC 211
Featherweight,TKO (punches),UFC 212
Middleweight,"Decision (unanimous) (48-47, 48-47, 48-47)",UFC 213
Women's Featherweight,TKO (knees),UFC 214
Welterweight,"Decision (unanimous) (50-45, 49-46, 49-46)",UFC 214
Light Heavyweight,No Contest (overturned),UFC 214
Women's Bantamweight,"Decision (split) (47-48, 48-47, 48-47)",UFC 215
Flyweight,Submission (armbar),UFC 216
Lightweight,Submission (triangle choke),UFC 216
Women's Strawweight,TKO (punches),UFC 217
Bantamweight,KO (punches),UFC 217
Middleweight,Technical Submission (rear-naked choke),UFC 217
Women's Flyweight,"Decision (unanimous) (50-45, 49-46, 49-46)",The Ultimate Fighter: A New World Champion Finale
Featherweight,TKO (punches),UFC 218
Women's Featherweight,"Decision (unanimous) (49-46, 48-47, 48-47)",UFC 219
Light Heavyweight,TKO (punches),UFC 220
Heavyweight,"Decision (unanimous) (50-44, 50-44, 50-44)",UFC 220
Middleweight,KO (punches),UFC 221
Women's Featherweight,TKO (punches),UFC 222
Women's Strawweight,"Decision (unanimous) (49-46, 49-46, 49-46)",UFC 223
Lightweight,"Decision (unanimous) (50-44, 50-43, 50-43)",UFC 223
Women's Bantamweight,TKO (punches),UFC 224
Welterweight,"Decision (unanimous) (49-46, 48-47, 48-47)",UFC 225
Heavyweight,KO (punches),UFC 226
Flyweight,"Decision (split) (48-47, 47-48, 48-47)",UFC 227
Bantamweight,TKO (knee and punches),UFC 227
Welterweight,Submission (D'Arce choke),UFC 228
Lightweight,Submission (neck crank),UFC 229
Heavyweight,Submission (rear-naked choke),UFC 230
Women's Flyweight,"Decision (unanimous) (49-46, 49-46, 49-46)",UFC 231
Featherweight,TKO (doctor stoppage),UFC 231
Women's Featherweight,KO (punch),UFC 232
Light Heavyweight,TKO (punches),UFC 232
Flyweight,TKO (punches),UFC Fight Night 143
Welterweight,"Decision (unanimous) (50-44, 50-44, 50-45)",UFC 235
Light Heavyweight,"Decision (unanimous) (48-44, 48-44, 48-44)",UFC 235
